date,series,value
2020-05-07,XAUUSD.Curncy,1716.06
2020-05-07,COM.US.Equity,16.3977
2020-05-08,BCOM.TR,132.9422
2020-05-08,GSCI.TR,1444.227
2020-05-08,XAUUSD.Curncy,1702.7
2020-05-08,COM.US.Equity,16.4053
2020-05-11,BCOM.TR,131.7972
2020-05-11,GSCI.TR,1416.018
2020-05-11,XAUUSD.Curncy,1697.93
2020-05-11,COM.US.Equity,16.2681
2020-05-12,BCOM.TR,131.306
2020-05-12,GSCI.TR,1424.311
2020-05-12,XAUUSD.Curncy,1702.7
2020-05-12,COM.US.Equity,16.3032
2020-05-13,BCOM.TR,129.3234
2020-05-13,GSCI.TR,1395.901
2020-05-13,XAUUSD.Curncy,1716.28
2020-05-13,COM.US.Equity,16.2986
2020-05-14,BCOM.TR,130.7416
2020-05-14,GSCI.TR,1431.949
2020-05-14,XAUUSD.Curncy,1730.3
2020-05-14,COM.US.Equity,16.2698
2020-05-15,BCOM.TR,131.5352
2020-05-15,GSCI.TR,1458.6
2020-05-15,XAUUSD.Curncy,1743.67
2020-05-15,COM.US.Equity,16.3822
2020-05-18,BCOM.TR,134.4572
2020-05-18,GSCI.TR,1515.973
2020-05-18,XAUUSD.Curncy,1732.55
2020-05-18,COM.US.Equity,16.3062
2020-05-19,BCOM.TR,134.9047
2020-05-19,GSCI.TR,1516.604
2020-05-19,XAUUSD.Curncy,1745.05
2020-05-19,COM.US.Equity,16.3208
2020-05-20,BCOM.TR,135.6881
2020-05-20,GSCI.TR,1542.373
2020-05-20,XAUUSD.Curncy,1748.18
2020-05-20,COM.US.Equity,16.3215
2020-05-21,BCOM.TR,134.4284
2020-05-21,GSCI.TR,1542.36
2020-05-21,XAUUSD.Curncy,1727
2020-05-21,COM.US.Equity,16.3555
2020-05-22,BCOM.TR,133.8446
2020-05-22,GSCI.TR,1523.963
2020-05-22,XAUUSD.Curncy,1734.68
2020-05-22,COM.US.Equity,16.3138
2020-05-25,BCOM.TR,133.8446
2020-05-25,GSCI.TR,1523.963
2020-05-25,XAUUSD.Curncy,1731.95
2020-05-25,COM.US.Equity,16.3138
2020-05-26,BCOM.TR,135.1481
2020-05-26,GSCI.TR,1552.487
2020-05-26,XAUUSD.Curncy,1710.58
2020-05-26,COM.US.Equity,16.322
2020-05-27,BCOM.TR,133.697
2020-05-27,GSCI.TR,1520.788
2020-05-27,XAUUSD.Curncy,1709.47
2020-05-27,COM.US.Equity,16.3601
2020-05-28,BCOM.TR,133.9122
2020-05-28,GSCI.TR,1532.135
2020-05-28,XAUUSD.Curncy,1718.33
2020-05-28,COM.US.Equity,16.3272
2020-05-29,BCOM.TR,135.5447
2020-05-29,GSCI.TR,1570.824
2020-05-29,XAUUSD.Curncy,1730.27
2020-05-29,COM.US.Equity,16.3318
2020-06-01,BCOM.TR,135.4956
2020-06-01,GSCI.TR,1572.22
2020-06-01,XAUUSD.Curncy,1739.55
2020-06-01,COM.US.Equity,16.3653
2020-06-02,BCOM.TR,136.0742
2020-06-02,GSCI.TR,1599.458
2020-06-02,XAUUSD.Curncy,1727.7
2020-06-02,COM.US.Equity,16.3329
2020-06-03,BCOM.TR,136.3276
2020-06-03,GSCI.TR,1605.801
2020-06-03,XAUUSD.Curncy,1699.67
2020-06-03,COM.US.Equity,16.31
2020-06-04,BCOM.TR,137.2916
2020-06-04,GSCI.TR,1616.529
2020-06-04,XAUUSD.Curncy,1714.01
2020-06-04,COM.US.Equity,16.4663
2020-06-05,BCOM.TR,138.0206
2020-06-05,GSCI.TR,1662.644
2020-06-05,XAUUSD.Curncy,1685.06
2020-06-05,COM.US.Equity,16.3111
2020-06-08,BCOM.TR,137.9102
2020-06-08,GSCI.TR,1639.79
2020-06-08,XAUUSD.Curncy,1698.53
2020-06-08,COM.US.Equity,16.3062
2020-06-09,BCOM.TR,138.0927
2020-06-09,GSCI.TR,1650.869
2020-06-09,XAUUSD.Curncy,1715.33
2020-06-09,COM.US.Equity,16.3077
2020-06-10,BCOM.TR,138.6834
2020-06-10,GSCI.TR,1663.522
2020-06-10,XAUUSD.Curncy,1738.7
2020-06-10,COM.US.Equity,16.3274
2020-06-11,BCOM.TR,136.7408
2020-06-11,GSCI.TR,1596.435
2020-06-11,XAUUSD.Curncy,1727.7
2020-06-11,COM.US.Equity,16.3252
2020-06-12,BCOM.TR,135.9162
2020-06-12,GSCI.TR,1593.828
2020-06-12,XAUUSD.Curncy,1730.75
2020-06-12,COM.US.Equity,16.341
2020-06-15,BCOM.TR,135.791
2020-06-15,GSCI.TR,1608.664
2020-06-15,XAUUSD.Curncy,1725.16
2020-06-15,COM.US.Equity,16.3139
2020-06-16,BCOM.TR,136.4228
2020-06-16,GSCI.TR,1634.6
2020-06-16,XAUUSD.Curncy,1726.53
2020-06-16,COM.US.Equity,16.3291
2020-06-17,BCOM.TR,136.7024
2020-06-17,GSCI.TR,1631.167
2020-06-17,XAUUSD.Curncy,1726.95
2020-06-17,COM.US.Equity,16.2338
2020-06-18,BCOM.TR,136.8027
2020-06-18,GSCI.TR,1645.201
2020-06-18,XAUUSD.Curncy,1722.93
2020-06-18,COM.US.Equity,16.2567
2020-06-19,BCOM.TR,137.7724
2020-06-19,GSCI.TR,1661.654
2020-06-19,XAUUSD.Curncy,1743.87
2020-06-19,COM.US.Equity,16.31
2020-06-22,BCOM.TR,138.3259
2020-06-22,GSCI.TR,1676.858
2020-06-22,XAUUSD.Curncy,1754.43
2020-06-22,COM.US.Equity,16.3024
2020-06-23,BCOM.TR,138.067
2020-06-23,GSCI.TR,1672.497
2020-06-23,XAUUSD.Curncy,1768.41
2020-06-23,COM.US.Equity,16.3062
2020-06-24,BCOM.TR,135.9296
2020-06-24,GSCI.TR,1617.994
2020-06-24,XAUUSD.Curncy,1761.17
2020-06-24,COM.US.Equity,16.3253
2020-06-25,BCOM.TR,135.3739
2020-06-25,GSCI.TR,1624.058
2020-06-25,XAUUSD.Curncy,1763.79
2020-06-25,COM.US.Equity,16.3558
2020-06-26,BCOM.TR,134.8875
2020-06-26,GSCI.TR,1613.277
2020-06-26,XAUUSD.Curncy,1771.29
2020-06-26,COM.US.Equity,16.3443
2020-06-29,BCOM.TR,137.0737
2020-06-29,GSCI.TR,1645.871
2020-06-29,XAUUSD.Curncy,1772.82
2020-06-29,COM.US.Equity,16.333
2020-06-30,BCOM.TR,138.6382
2020-06-30,GSCI.TR,1650.79
2020-06-30,XAUUSD.Curncy,1780.96
2020-06-30,COM.US.Equity,16.3405
2020-07-01,BCOM.TR,139.0814
2020-07-01,GSCI.TR,1667.291
2020-07-01,XAUUSD.Curncy,1770.09
2020-07-01,COM.US.Equity,16.3176
2020-07-02,BCOM.TR,140.0398
2020-07-02,GSCI.TR,1688.218
2020-07-02,XAUUSD.Curncy,1775.38
2020-07-02,COM.US.Equity,16.3481
2020-07-03,BCOM.TR,140.0398
2020-07-03,GSCI.TR,1688.218
2020-07-03,XAUUSD.Curncy,1775.95
2020-07-03,COM.US.Equity,16.3481
2020-07-06,BCOM.TR,141.2104
2020-07-06,GSCI.TR,1695.444
2020-07-06,XAUUSD.Curncy,1784.68
2020-07-06,COM.US.Equity,16.3736
2020-07-07,BCOM.TR,141.982
2020-07-07,GSCI.TR,1700.014
2020-07-07,XAUUSD.Curncy,1794.86
2020-07-07,COM.US.Equity,16.371
2020-07-08,BCOM.TR,142.5187
2020-07-08,GSCI.TR,1708.508
2020-07-08,XAUUSD.Curncy,1808.89
2020-07-08,COM.US.Equity,16.3786
2020-07-09,BCOM.TR,141.5669
2020-07-09,GSCI.TR,1689.329
2020-07-09,XAUUSD.Curncy,1803.55
2020-07-09,COM.US.Equity,16.4129
2020-07-10,BCOM.TR,142.1855
2020-07-10,GSCI.TR,1707.727
2020-07-10,XAUUSD.Curncy,1798.7
2020-07-10,COM.US.Equity,16.4739
2020-07-13,BCOM.TR,141.8748
2020-07-13,GSCI.TR,1697.36
2020-07-13,XAUUSD.Curncy,1802.76
2020-07-13,COM.US.Equity,16.5425
2020-07-14,BCOM.TR,141.2065
2020-07-14,GSCI.TR,1692.841
2020-07-14,XAUUSD.Curncy,1809.36
2020-07-14,COM.US.Equity,16.5203
2020-07-15,BCOM.TR,142.251
2020-07-15,GSCI.TR,1714.04
2020-07-15,XAUUSD.Curncy,1810.29
2020-07-15,COM.US.Equity,16.5235
2020-07-16,BCOM.TR,141.8418
2020-07-16,GSCI.TR,1705.729
2020-07-16,XAUUSD.Curncy,1797.16
2020-07-16,COM.US.Equity,16.5082
2020-07-17,BCOM.TR,141.8882
2020-07-17,GSCI.TR,1701.475
2020-07-17,XAUUSD.Curncy,1810.42
2020-07-17,COM.US.Equity,16.5273
2020-07-20,BCOM.TR,141.4959
2020-07-20,GSCI.TR,1700.685
2020-07-20,XAUUSD.Curncy,1817.77
2020-07-20,COM.US.Equity,16.5904
2020-07-21,BCOM.TR,143.5805
2020-07-21,GSCI.TR,1730.457
2020-07-21,XAUUSD.Curncy,1841.91
2020-07-21,COM.US.Equity,16.7217
2020-07-22,BCOM.TR,144.5464
2020-07-22,GSCI.TR,1732.834
2020-07-22,XAUUSD.Curncy,1871.41
2020-07-22,COM.US.Equity,16.8416
2020-07-23,BCOM.TR,145.369
2020-07-23,GSCI.TR,1722.692
2020-07-23,XAUUSD.Curncy,1887.44
2020-07-23,COM.US.Equity,16.7903
2020-07-24,BCOM.TR,145.4245
2020-07-24,GSCI.TR,1724.447
2020-07-24,XAUUSD.Curncy,1902.02
2020-07-24,COM.US.Equity,16.8168
2020-07-27,BCOM.TR,146.1777
2020-07-27,GSCI.TR,1727.245
2020-07-27,XAUUSD.Curncy,1942.24
2020-07-27,COM.US.Equity,16.9542
2020-07-28,BCOM.TR,146.2388
2020-07-28,GSCI.TR,1721.218
2020-07-28,XAUUSD.Curncy,1958.43
2020-07-28,COM.US.Equity,17.0152
2020-07-29,BCOM.TR,147.2259
2020-07-29,GSCI.TR,1731.383
2020-07-29,XAUUSD.Curncy,1970.79
2020-07-29,COM.US.Equity,16.9618
2020-07-30,BCOM.TR,145.6468
2020-07-30,GSCI.TR,1703.08
2020-07-30,XAUUSD.Curncy,1956.64
2020-07-30,COM.US.Equity,16.9184
2020-07-31,BCOM.TR,146.551
2020-07-31,GSCI.TR,1713.464
2020-07-31,XAUUSD.Curncy,1975.86
2020-07-31,COM.US.Equity,16.994
2020-08-03,BCOM.TR,149.1733
2020-08-03,GSCI.TR,1738.12
2020-08-03,XAUUSD.Curncy,1976.98
2020-08-03,COM.US.Equity,16.9927
2020-08-04,BCOM.TR,150.5371
2020-08-04,GSCI.TR,1747.998
2020-08-04,XAUUSD.Curncy,2019.21
2020-08-04,COM.US.Equity,17.1371
2020-08-05,BCOM.TR,151.9202
2020-08-05,GSCI.TR,1766.333
2020-08-05,XAUUSD.Curncy,2038.12
2020-08-05,COM.US.Equity,17.2097
2020-08-06,BCOM.TR,152.2354
2020-08-06,GSCI.TR,1761.182
2020-08-06,XAUUSD.Curncy,2063.54
2020-08-06,COM.US.Equity,17.3735
2020-08-07,BCOM.TR,150.3384
2020-08-07,GSCI.TR,1737.705
2020-08-07,XAUUSD.Curncy,2035.55
2020-08-07,COM.US.Equity,17.2128
2020-08-10,BCOM.TR,151.3065
2020-08-10,GSCI.TR,1753.294
2020-08-10,XAUUSD.Curncy,2027.34
2020-08-10,COM.US.Equity,17.2999
2020-08-11,BCOM.TR,149.1477
2020-08-11,GSCI.TR,1742.002
2020-08-11,XAUUSD.Curncy,1911.89
2020-08-11,COM.US.Equity,16.9564
2020-08-12,BCOM.TR,149.9563
2020-08-12,GSCI.TR,1762.904
2020-08-12,XAUUSD.Curncy,1915.83
2020-08-12,COM.US.Equity,16.9999
2020-08-13,BCOM.TR,151.1671
2020-08-13,GSCI.TR,1761.114
2020-08-13,XAUUSD.Curncy,1953.71
2020-08-13,COM.US.Equity,17.1556
2020-08-14,BCOM.TR,151.1018
2020-08-14,GSCI.TR,1761.726
2020-08-14,XAUUSD.Curncy,1945.12
2020-08-14,COM.US.Equity,17.1105
2020-08-17,BCOM.TR,153.6884
2020-08-17,GSCI.TR,1786.962
2020-08-17,XAUUSD.Curncy,1985.3
